name,stocking_info,longitude,county,latitude,alt,size
Hardscrabble Pot - Lwr,,-121.351291,King County,47.524725,4047,0.3
Jade,,-121.257818,King County,47.584823,4614,3.8
Jewel,,-121.275979,King County,47.590843,4471,7.8
Mosquito,,-121.147788,King County,47.763419,4470,1.2
Mosquito Pothole - E,,-121.143604,King County,47.763413,4590,2.1
Mt Fernow Pothole 3,,-121.235209,King County,47.766663,4381,0.9
Murphy - Upper,,-121.129951,King County,47.683804,4748,6.5
Olallie,,-121.510259,King County,47.422552,3785,13.2
Panorama,,-121.335587,King County,47.630702,5282,8.0
Pugsley (Dans),,-121.399945,King County,47.586085,3419,16.7
Purvis,,-121.346616,King County,47.627731,5313,6.9
Rock,,-121.335078,King County,47.640293,4550,23.1
Summit (Mosquito),,-121.114923,King County,47.739428,4589,5.4
Tusco Out-In Pot - Large,,-121.490203,King County,47.435231,3674,5.5
Tusco Out-In Pot - Small,,-121.492152,King County,47.435080,3673,1.6
Tye,,-121.112086,King County,47.765056,4682,3.2
Yutaka,,-121.123857,King County,47.775467,4754,2.2
Campbell,,-121.487371,Pierce County,46.916324,5591,0.4
Christine,,-121.936279,Pierce County,46.777571,4806,2.6
Coplay,,-121.832592,Pierce County,47.024651,3893,18.5
EB Pot,,-121.927362,Pierce County,47.025110,4026,2.4
Goat,,-121.924495,Pierce County,46.793311,4347,7.7
Henskin - Lower,,-121.483834,Pierce County,46.918372,5480,2.2
Henskin - Upper,,-121.487882,Pierce County,46.915721,5594,0.4
Arrowhead,,-121.290053,Skagit County,48.432548,4411,10.5
Found,,-121.253438,Skagit County,48.434211,4027,62.9
Bath Pot 1,,-121.079558,Snohomish County,48.248745,5634,0.9
Box Mtn - Lower,,-121.215524,Snohomish County,48.224075,5064,23.3
Box Mtn - Upper,,-121.220456,Snohomish County,48.222515,5229,4.4
Cup,,-121.141114,Snohomish County,47.826317,4715,10.6
Flapjack Point Pot,,-121.370943,Snohomish County,47.791192,4384,2.1
Gulch (2),,-121.456076,Snohomish County,47.938696,3632,3.9
Joan Pot,,-121.193848,Snohomish County,47.790958,5060,0.2
Saucer,,-121.147340,Snohomish County,47.829128,4487,15.0
Twin - Lower,,-121.377239,Snohomish County,47.949446,4624,23.3
Bagley - Upper,,-121.684465,Whatcom County,48.860064,4172,3.8
Baker Lake,,-121.628304,Whatcom County,48.726836,703,4755.3
Blue,,-121.792541,Whatcom County,48.646984,3984,12.2
Iceberg,,-121.717971,Whatcom County,48.854069,4797,36.5
Pocket No. 1,,-121.532349,Whatcom County,48.985594,4515,4.9
Twin - Lower,,-121.638326,Whatcom County,48.951190,5165,18.2
Twin - Upper,,-121.633053,Whatcom County,48.953043,5181,16.4
Watson 
